name,accuracy,precision,recall,f1,timestamp
Scaled NN 1000 max_iter - All,0.7338828464127202,0.5365766356843449,0.4412414965986395,0.4181498748200449,2024-04-25 10:51
Scaled NN 400 max_iter - All,0.7309027947129689,0.5516255244049668,0.4244897959183674,0.4046819692230704,2024-04-25 10:51
Scaled NN 5000 max_iter - All,0.7111105691849973,0.5021353724157462,0.4412414965986395,0.3966169401851623,2024-04-25 10:52
Scaled NN - All,0.7299273277081403,0.5587744364918278,0.4122448979591836,0.3800831454775654,2024-04-25 10:50
Scaled KNN - All,0.7338828464127201,0.4495533295533295,0.3406462585034013,0.3727386604387732,2024-04-25 10:53
Scaled LogisticRegression - All,0.7239964883187827,0.5393497214951157,0.3249149659863946,0.3079345481179301,2024-04-25 10:47
RandomForest - All,0.7339072330878407,0.384992784992785,0.2375,0.2289022805151837,2024-04-25 10:48
LogisticRegression - All,0.6962785933765792,0.3599364069952305,0.2083333333333333,0.1451805337519623,2024-04-25 10:48
Scaled SVC - All,0.7655855240696484,0.542512077294686,0.0875,0.1368454505711733,2024-04-25 10:49
NN - All,0.7636053260498462,0.12,0.0375,0.0571428571428571,2024-04-25 10:50
SVC - All,0.7616251280300442,0.0,0.0,0.0,2024-04-25 10:49
